TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:17:03.9799600,4808,10
2023-11-16 18:17:04.0319600,3180,8
2023-11-16 18:17:04.1206440,7433,14
2023-11-16 18:17:04.6785310,6985,9
2023-11-16 18:17:05.3790470,7427,8
2023-11-16 18:17:33.5603670,3893,19
2023-11-16 18:17:34.1578290,7436,9
2023-11-16 18:17:34.4626860,6587,18
2023-11-16 18:17:35.2653760,5108,12
2023-11-16 18:17:35.7870820,4009,51
2023-11-16 18:17:37.3200350,5108,10
2023-11-16 18:17:37.6596680,6587,13
2023-11-16 18:17:37.6614270,7436,6
2023-11-16 18:17:38.2643990,3351,9
2023-11-16 18:17:38.8589320,3724,9
2023-11-16 18:17:39.3271100,6586,11
2023-11-16 18:17:43.2659260,6586,9
2023-11-16 18:17:43.3074770,7435,9
2023-11-16 18:20:07.1389820,3245,15
2023-11-16 18:20:07.4398690,7436,8
2023-11-16 18:20:11.2389890,6819,82
2023-11-16 18:20:11.5385310,3154,9
2023-11-16 18:20:11.5393560,7435,13
2023-11-16 18:20:12.2366600,3631,15
2023-11-16 18:20:12.3341300,4556,16
2023-11-16 18:20:12.3420880,5925,52
2023-11-16 18:20:12.4376040,3286,15
2023-11-16 18:20:15.3393180,5025,17
2023-11-16 18:20:15.5380680,4557,9
2023-11-16 18:20:16.4379490,3066,6
2023-11-16 18:20:16.4416810,4556,25
2023-11-16 18:20:16.5408240,5926,121
2023-11-16 18:20:16.5430190,7435,6
2023-11-16 18:20:19.2425880,3658,6
2023-11-16 18:20:19.3419180,3397,7
2023-11-16 18:20:19.3420580,5927,21
2023-11-16 18:20:19.6362870,5928,6
2023-11-16 18:20:20.0340900,5538,697
2023-11-16 18:20:20.2397320,4566,20
2023-11-16 18:20:20.3375920,7419,6
2023-11-16 18:20:20.7456870,3854,10
2023-11-16 18:20:20.9373330,3066,12
2023-11-16 18:20:20.9374320,3517,11
2023-11-16 18:20:21.3373910,3067,9
2023-11-16 18:20:21.4416290,5923,55
2023-11-16 18:20:21.6467260,3284,7
2023-11-16 18:20:22.3424730,3288,10
2023-11-16 18:20:22.7412950,3289,15
2023-11-16 18:20:22.9342340,3399,10
2023-11-16 18:20:22.9406090,5831,11
2023-11-16 18:20:23.2364860,3064,15
2023-11-16 18:20:23.2392050,3396,7
2023-11-16 18:20:23.3535620,4629,6
2023-11-16 18:20:23.4573690,7332,26
2023-11-16 18:20:23.4607220,4081,29
2023-11-16 18:20:23.9414890,3399,19
2023-11-16 18:20:24.0618310,4629,6
2023-11-16 18:20:24.3549700,4771,16
2023-11-16 18:20:24.9599320,4769,9
2023-11-16 18:20:25.8551400,4083,41
2023-11-16 18:20:26.2532180,7435,13
2023-11-16 18:20:26.2569670,6051,13
2023-11-16 18:20:27.2154500,7436,11
2023-11-16 18:20:27.6570750,4770,39
2023-11-16 18:20:28.7544440,7435,13
2023-11-16 18:20:28.9828870,7335,11
2023-11-16 18:20:29.1554090,4803,13
2023-11-16 18:20:29.4596010,6054,6
2023-11-16 18:20:37.9236540,7421,13
2023-11-16 18:20:38.0214010,3640,14
2023-11-16 18:20:38.1239660,3376,118
2023-11-16 18:20:38.7216640,3548,15
2023-11-16 18:20:39.1209820,7429,9
2023-11-16 18:20:39.2209420,7408,12
2023-11-16 18:20:39.5232290,7419,8
2023-11-16 18:20:43.5873840,5219,8
2023-11-16 18:20:43.6188860,3378,8
2023-11-16 18:20:43.7789430,6606,11
2023-11-16 18:20:44.0833050,5423,9
2023-11-16 18:20:44.4793750,4028,218
2023-11-16 18:20:44.5152650,3379,7
2023-11-16 18:20:44.5207800,3945,26
2023-11-16 18:20:45.3837660,6607,11
2023-11-16 18:20:45.4820170,6906,302
2023-11-16 18:20:45.8779810,5431,12
2023-11-16 18:20:46.3674210,5881,6
2023-11-16 18:20:46.3683750,3253,73
2023-11-16 18:20:46.5590690,5697,19
2023-11-16 18:20:46.5649920,5699,7
2023-11-16 18:20:46.6591210,4681,58
2023-11-16 18:20:46.6592290,5801,7
2023-11-16 18:20:46.7621080,5886,8
2023-11-16 18:20:46.7621200,3765,9
2023-11-16 18:20:46.7631390,3760,13
2023-11-16 18:20:47.6169650,7436,10
2023-11-16 18:20:48.2683240,5801,91
2023-11-16 18:20:48.3684590,5801,37
2023-11-16 18:20:48.5804280,4030,72
2023-11-16 18:20:48.8792360,6611,10
2023-11-16 18:20:48.8794870,6919,16
2023-11-16 18:20:48.9165190,6646,14
2023-11-16 18:20:49.0860090,5442,11
2023-11-16 18:20:50.8782740,5452,10
2023-11-16 18:20:50.8836710,6478,41
2023-11-16 18:20:50.9871640,4035,25
2023-11-16 18:20:51.0679460,4684,6
2023-11-16 18:20:51.0852410,6918,49
2023-11-16 18:20:51.1893010,6608,11
2023-11-16 18:20:51.5784050,5461,13
2023-11-16 18:20:51.5784170,4991,9
2023-11-16 18:20:51.5842930,4821,23
2023-11-16 18:20:51.8633120,5801,61
2023-11-16 18:20:52.2636270,5803,6
2023-11-16 18:20:52.2637880,4685,6
2023-11-16 18:20:52.4628370,4530,11
2023-11-16 18:20:53.6834480,5473,7
2023-11-16 18:20:53.9830040,5473,7
2023-11-16 18:20:53.9869230,3330,21
2023-11-16 18:20:54.3849250,3286,37
2023-11-16 18:20:54.5782030,3286,19
2023-11-16 18:20:54.6781120,3287,9
2023-11-16 18:20:54.6811530,5590,76
2023-11-16 18:20:54.8800420,5479,13
2023-11-16 18:20:55.4847770,3325,12
