TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:15:00.0000000,2411,12
2023-11-16 18:15:00.0001050,1108,27
2023-11-16 18:15:00.0059900,1692,9
2023-11-16 18:15:00.0995820,699,49
2023-11-16 18:15:00.1056360,2411,8
2023-11-16 18:15:00.1073450,356,48
2023-11-16 18:15:00.2036130,781,93
2023-11-16 18:15:00.3009200,1108,13
2023-11-16 18:15:00.3019720,597,13
2023-11-16 18:15:00.3042720,7384,24
2023-11-16 18:15:00.3445900,7435,41
2023-11-16 18:15:00.3446740,11,14
2023-11-16 18:15:00.4055020,1876,6
2023-11-16 18:15:00.4075520,2411,47
2023-11-16 18:15:00.4652230,28,14
2023-11-16 18:15:00.4719580,4262,127
2023-11-16 18:15:00.6047840,595,64
2023-11-16 18:15:00.7014480,1650,11
2023-11-16 18:15:00.7079040,596,6
2023-11-16 18:15:00.7089330,140,17
2023-11-16 18:15:00.8021260,1112,103
2023-11-16 18:15:00.8054180,2969,24
2023-11-16 18:15:00.8055070,7436,10
2023-11-16 18:15:00.8443140,772,6
2023-11-16 18:15:00.8460510,5804,10
2023-11-16 18:15:00.9001600,2412,103
2023-11-16 18:15:00.9078620,336,16
2023-11-16 18:15:00.9079350,261,10
2023-11-16 18:15:00.9098350,3328,14
2023-11-16 18:15:00.9100940,496,69
2023-11-16 18:15:01.0051190,7384,12
2023-11-16 18:15:01.0075620,364,28
2023-11-16 18:15:01.1529590,203,28
2023-11-16 18:15:01.2070730,2293,30
2023-11-16 18:15:01.2366360,2086,61
2023-11-16 18:15:01.3096420,1502,11
2023-11-16 18:15:01.3475820,1896,10
2023-11-16 18:15:01.4010770,259,8
2023-11-16 18:15:01.4011730,2748,7
2023-11-16 18:15:01.4126300,100,25
2023-11-16 18:15:01.4438800,38,23
2023-11-16 18:15:01.5003060,1357,12
2023-11-16 18:15:01.5489630,144,11
2023-11-16 18:15:01.7452040,100,16
2023-11-16 18:15:01.8053160,1115,14
2023-11-16 18:15:01.8499180,203,19
2023-11-16 18:15:01.9002200,2640,8
2023-11-16 18:15:01.9485250,5405,21
2023-11-16 18:15:02.0065170,1357,14
2023-11-16 18:15:02.0067740,2297,30
2023-11-16 18:15:02.0088340,705,231
2023-11-16 18:15:02.0529180,456,180
2023-11-16 18:15:02.1046480,261,12
2023-11-16 18:15:02.1055960,7390,34
2023-11-16 18:15:02.1057860,2640,16
2023-11-16 18:15:02.1068140,75,18
2023-11-16 18:15:02.1474600,1563,10
2023-11-16 18:15:02.1486450,16,14
2023-11-16 18:15:02.2460650,2772,6
2023-11-16 18:15:02.3071560,1881,25
2023-11-16 18:15:02.3072370,2298,16
2023-11-16 18:15:02.3073130,2434,9
2023-11-16 18:15:02.3074250,93,63
2023-11-16 18:15:02.3081820,2987,9
2023-11-16 18:15:02.3104000,3811,9
2023-11-16 18:15:02.4065960,1596,15
2023-11-16 18:15:02.4075370,960,7
2023-11-16 18:15:02.4654840,1017,20
2023-11-16 18:15:02.4658030,18,10
2023-11-16 18:15:02.5456750,100,60
2023-11-16 18:15:02.5740780,2508,6
2023-11-16 18:15:02.5742700,203,28
2023-11-16 18:15:02.6054360,340,14
2023-11-16 18:15:02.6086520,782,8
2023-11-16 18:15:02.6634650,1803,12
2023-11-16 18:15:02.7440900,773,8
2023-11-16 18:15:02.7656560,1454,172
2023-11-16 18:15:02.7689270,1035,52
2023-11-16 18:15:02.7697740,92,7
2023-11-16 18:15:02.7698260,1208,10
2023-11-16 18:15:02.8022770,2992,9
2023-11-16 18:15:02.8025840,1112,26
