timestamp,original_rpm,original_prompt_token,original_completion_token
2026-03-03T05:00:00,1915,4851175,248340
2026-03-03T05:01:00,1900,4562221,169888
2026-03-03T05:02:00,1825,4502800,202325
2026-03-03T05:03:00,1754,4358318,165219
2026-03-03T05:04:00,1887,4880067,303561
2026-03-03T05:05:00,2086,4456591,214375
2026-03-03T05:06:00,1944,4201311,233208
2026-03-03T05:07:00,1995,4690390,223050
2026-03-03T05:08:00,2077,5056610,277421
2026-03-03T05:09:00,2178,4701966,289369
2026-03-03T05:10:00,2105,4313333,257736
2026-03-03T05:11:00,2251,4418828,232340
2026-03-03T05:12:00,2112,4114463,314069
2026-03-03T05:13:00,2237,3919557,236963
2026-03-03T05:14:00,2068,3661252,177979
2026-03-03T05:15:00,1899,4227076,221820
2026-03-03T05:16:00,1826,4354253,329424
2026-03-03T05:17:00,1893,4209563,196999
2026-03-03T05:18:00,1972,4096396,262438
2026-03-03T05:19:00,2104,4700436,198803
2026-03-03T05:20:00,1878,3791226,161434
2026-03-03T05:21:00,1884,4295211,246966
2026-03-03T05:22:00,1849,4257814,262190
2026-03-03T05:23:00,2088,4071591,233600
2026-03-03T05:24:00,2348,4439131,248138
2026-03-03T05:25:00,2214,4105958,234629
2026-03-03T05:26:00,2241,3914519,247271
2026-03-03T05:27:00,1845,4110685,216409
2026-03-03T05:28:00,1864,4071476,196169
2026-03-03T05:29:00,2042,4449164,248000
2026-03-03T05:30:00,1880,4471479,209262
2026-03-03T05:31:00,1881,4287876,249146
2026-03-03T05:32:00,1787,3753884,209934
2026-03-03T05:33:00,1676,3559952,174747
2026-03-03T05:34:00,1750,3495671,193476
2026-03-03T05:35:00,2144,4511236,223893
2026-03-03T05:36:00,2136,5138960,247330
2026-03-03T05:37:00,2429,4867729,213990
2026-03-03T05:38:00,2419,5129197,249529
2026-03-03T05:39:00,2478,4670791,191961
2026-03-03T05:40:00,2420,4428599,279812
2026-03-03T05:41:00,2214,4579058,208637
2026-03-03T05:42:00,2154,4631660,188395
2026-03-03T05:43:00,2000,4321317,209271
2026-03-03T05:44:00,2031,4273019,213277
2026-03-03T05:45:00,1897,4202197,197397
2026-03-03T05:46:00,1832,3905282,179135
2026-03-03T05:47:00,1811,3841340,190741
2026-03-03T05:48:00,1853,4043918,204123
2026-03-03T05:49:00,2020,4110652,210044
2026-03-03T05:50:00,2034,4205101,195297
2026-03-03T05:51:00,2238,4820168,170046
2026-03-03T05:52:00,2099,4483580,233639
2026-03-03T05:53:00,1818,3914021,194379
2026-03-03T05:54:00,1817,4232129,203829
2026-03-03T05:55:00,1937,4029656,192216
2026-03-03T05:56:00,2315,4309268,208568
2026-03-03T05:57:00,2207,4178103,210721
2026-03-03T05:58:00,2516,4980978,239200
2026-03-03T05:59:00,2492,4755574,246570
2026-03-03T06:00:00,2416,4899074,199534
2026-03-03T06:01:00,2285,4754396,215147
2026-03-03T06:02:00,2149,3796734,200213
2026-03-03T06:03:00,2416,4615370,217539
2026-03-03T06:04:00,2302,4736343,211263
2026-03-03T06:05:00,2342,5122840,226331
2026-03-03T06:06:00,2137,5092597,203982
2026-03-03T06:07:00,2191,4798559,221759
2026-03-03T06:08:00,2304,5428712,211414
2026-03-03T06:09:00,1853,4722881,177798
2026-03-03T06:10:00,1886,4646191,177983
2026-03-03T06:11:00,2162,5156002,249481
2026-03-03T06:12:00,2170,5165001,210411
2026-03-03T06:13:00,2152,5898170,196942
2026-03-03T06:14:00,2125,5505913,199956
2026-03-03T06:15:00,2169,5667811,218162
2026-03-03T06:16:00,1951,5256746,211475
2026-03-03T06:17:00,2098,5266641,201538
2026-03-03T06:18:00,2422,5178780,207393
2026-03-03T06:19:00,2601,5594542,220859
2026-03-03T06:20:00,2685,5716695,244912
2026-03-03T06:21:00,2454,5258886,216573
2026-03-03T06:22:00,2559,5755985,255964
2026-03-03T06:23:00,2510,4931478,188847
2026-03-03T06:24:00,2401,5555861,261838
2026-03-03T06:25:00,2168,5290636,210905
2026-03-03T06:26:00,2030,5192257,205749
2026-03-03T06:27:00,2006,4961492,178100
2026-03-03T06:28:00,2051,4768047,188763
2026-03-03T06:29:00,1900,4164749,175176
2026-03-03T06:30:00,1800,4358876,210990
2026-03-03T06:31:00,1897,5060805,193498
2026-03-03T06:32:00,1911,5080433,194730
2026-03-03T06:33:00,1837,5355567,193229
2026-03-03T06:34:00,2042,5258333,201066
2026-03-03T06:35:00,2188,5268224,183287
2026-03-03T06:36:00,2307,5106314,202309
2026-03-03T06:37:00,2232,5258446,220192
2026-03-03T06:38:00,2183,4419154,226792
2026-03-03T06:39:00,2158,5064307,201741
2026-03-03T06:40:00,2347,5168215,215261
2026-03-03T06:41:00,2576,5409228,241684
2026-03-03T06:42:00,2386,4902216,231601
2026-03-03T06:43:00,2466,5569514,286434
2026-03-03T06:44:00,2298,4748862,239392
2026-03-03T06:45:00,2212,5369595,191066
2026-03-03T06:46:00,2209,4942769,195964
2026-03-03T06:47:00,2239,5003165,188431
2026-03-03T06:48:00,2527,5345787,221005
2026-03-03T06:49:00,2624,5280831,250019
2026-03-03T06:50:00,2685,5733423,235773
2026-03-03T06:51:00,2594,5953524,231127
2026-03-03T06:52:00,2460,5835409,228254
2026-03-03T06:53:00,2538,5424870,229094
2026-03-03T06:54:00,2564,6018280,244141
2026-03-03T06:55:00,2702,5663028,213753
2026-03-03T06:56:00,2402,4667116,202045
2026-03-03T06:57:00,2350,4856405,198497
2026-03-03T06:58:00,2518,4923218,213675
2026-03-03T06:59:00,2483,5446794,225211
2026-03-03T07:00:00,2168,5549868,205245
2026-03-03T07:01:00,2184,6215917,243745
2026-03-03T07:02:00,2177,5930803,244785
2026-03-03T07:03:00,2202,5504037,250836
2026-03-03T07:04:00,2074,5182545,247731
2026-03-03T07:05:00,1878,4915574,249516
2026-03-03T07:06:00,1734,4248501,189883
2026-03-03T07:07:00,1617,4831251,217149
2026-03-03T07:08:00,1743,5797726,255451
2026-03-03T07:09:00,1791,5688728,230438
2026-03-03T07:10:00,1818,5026057,232840
2026-03-03T07:11:00,1777,5571759,238760
2026-03-03T07:12:00,1901,,183561
2026-03-03T07:13:00,1965,4454647,268647
2026-03-03T07:14:00,1949,3953237,244644
2026-03-03T07:15:00,1835,4431374,230920
2026-03-03T07:16:00,1826,4094743,203315
2026-03-03T07:17:00,1825,4692694,214880
2026-03-03T07:18:00,1850,4481998,180447
2026-03-03T07:19:00,2040,5098173,207810
2026-03-03T07:20:00,2032,5304377,220602
2026-03-03T07:21:00,1983,4816520,242843
2026-03-03T07:22:00,1971,4819136,250431
2026-03-03T07:23:00,1944,4826515,218487
2026-03-03T07:24:00,1895,4805187,221325
2026-03-03T07:25:00,1978,4494643,206358
2026-03-03T07:26:00,1950,4451174,199598
2026-03-03T07:27:00,2008,4689932,262581
2026-03-03T07:28:00,2078,5155393,205879
2026-03-03T07:29:00,2014,5143569,180831
2026-03-03T07:30:00,2120,4603237,196435
2026-03-03T07:31:00,2275,5214055,224872
2026-03-03T07:32:00,2255,4598465,244812
2026-03-03T07:33:00,2355,4580968,249229
2026-03-03T07:34:00,2278,4536702,223272
2026-03-03T07:35:00,2331,5304621,250373
2026-03-03T07:36:00,2193,4741961,194566
2026-03-03T07:37:00,2125,4195628,228078
2026-03-03T07:38:00,2178,3848552,205473
2026-03-03T07:39:00,2276,4245358,231941
2026-03-03T07:40:00,2214,4216545,231188
2026-03-03T07:41:00,2146,4207561,193521
2026-03-03T07:42:00,2100,4366793,189424
2026-03-03T07:43:00,1991,3937758,273998
2026-03-03T07:44:00,1808,4106628,214422
2026-03-03T07:45:00,1797,3698484,234888
2026-03-03T07:46:00,1667,3438239,191960
2026-03-03T07:47:00,1648,3391838,220874
2026-03-03T07:48:00,1691,3724985,164850
2026-03-03T07:49:00,1725,3869527,193531
2026-03-03T07:50:00,1644,3631837,241034
2026-03-03T07:51:00,1648,3941734,184524
2026-03-03T07:52:00,1854,4036760,249826
2026-03-03T07:53:00,2014,3510034,192989
2026-03-03T07:54:00,1952,3604712,213889
2026-03-03T07:55:00,1777,3668626,184298
2026-03-03T07:56:00,1742,3920820,249042
2026-03-03T07:57:00,1552,3759032,165839
2026-03-03T07:58:00,1660,3714413,240795
2026-03-03T07:59:00,2108,3465595,214517
2026-03-03T08:00:00,2023,4332042,198634
2026-03-03T08:01:00,2034,4152604,198591
2026-03-03T08:02:00,2122,5187278,229417
2026-03-03T08:03:00,2074,5132944,234917
2026-03-03T08:04:00,2150,5305154,195856
2026-03-03T08:05:00,2047,4740020,243607
2026-03-03T08:06:00,1897,5108051,209712
2026-03-03T08:07:00,1745,4588916,244510
2026-03-03T08:08:00,1862,5347853,249190
2026-03-03T08:09:00,1840,5171681,190969
2026-03-03T08:10:00,1739,4912698,185904
2026-03-03T08:11:00,1635,4745365,245801
2026-03-03T08:12:00,1582,4869475,170790
2026-03-03T08:13:00,1783,5225945,211395
2026-03-03T08:14:00,1726,4687684,228886
2026-03-03T08:15:00,1615,4476705,219591
2026-03-03T08:16:00,1680,4255429,216721
2026-03-03T08:17:00,1671,4243115,183381
2026-03-03T08:18:00,1782,6041836,216954
2026-03-03T08:19:00,1776,4160440,239185
2026-03-03T08:20:00,1837,4732674,221158
2026-03-03T08:21:00,2006,4719857,243306
2026-03-03T08:22:00,2123,6067896,292751
2026-03-03T08:23:00,2192,5563934,274277
2026-03-03T08:24:00,1997,4707186,214310
2026-03-03T08:25:00,1944,4975340,206256
2026-03-03T08:26:00,1990,5367392,226958
2026-03-03T08:27:00,2011,6986564,193359
2026-03-03T08:28:00,2030,8092388,265079
2026-03-03T08:29:00,1742,6594048,243597
2026-03-03T08:30:00,1932,6567879,346493
2026-03-03T08:31:00,2084,5574872,257911
2026-03-03T08:32:00,2069,6121645,272202
2026-03-03T08:33:00,2021,5983716,239811
2026-03-03T08:34:00,2039,6718614,278037
2026-03-03T08:35:00,1857,6030718,203465
2026-03-03T08:36:00,1775,6513708,187476
2026-03-03T08:37:00,1890,6374834,197693
2026-03-03T08:38:00,1911,7036060,245578
2026-03-03T08:39:00,1910,8839812,273398
2026-03-03T08:40:00,1935,8120580,259683
2026-03-03T08:41:00,1960,8883838,244524
2026-03-03T08:42:00,1994,7516563,252753
2026-03-03T08:43:00,1957,7790997,230000
2026-03-03T08:44:00,1990,9642513,237487
2026-03-03T08:45:00,2121,10239647,304544
2026-03-03T08:46:00,2262,10374895,320560
2026-03-03T08:47:00,2280,10892707,351463
2026-03-03T08:48:00,2083,10228207,297014
2026-03-03T08:49:00,2293,11974753,325704
