timestamp,original_rpm,original_prompt_token,original_completion_token
2026-03-03T05:00:00,1915,4851175,248340
2026-03-03T05:02:00,1825,4502800,202325
2026-03-03T05:04:00,1887,4880067,303561
2026-03-03T05:06:00,1944,4201311,233208
2026-03-03T05:08:00,2077,5056610,277421
2026-03-03T05:10:00,2105,4313333,257736
2026-03-03T05:12:00,2112,4114463,314069
2026-03-03T05:14:00,2068,3661252,177979
2026-03-03T05:16:00,1826,4354253,329424
2026-03-03T05:18:00,1972,4096396,262438
2026-03-03T05:20:00,1878,3791226,161434
2026-03-03T05:22:00,1849,4257814,262190
2026-03-03T05:24:00,2348,4439131,248138
2026-03-03T05:26:00,2241,3914519,247271
2026-03-03T05:28:00,1864,4071476,196169
2026-03-03T05:30:00,1880,4471479,209262
2026-03-03T05:32:00,1787,3753884,209934
2026-03-03T05:34:00,1750,3495671,193476
2026-03-03T05:36:00,2136,5138960,247330
2026-03-03T05:38:00,2419,5129197,249529
2026-03-03T05:40:00,2420,4428599,279812
2026-03-03T05:42:00,2154,4631660,188395
2026-03-03T05:44:00,2031,4273019,213277
2026-03-03T05:46:00,1832,3905282,179135
2026-03-03T05:48:00,1853,4043918,204123
2026-03-03T05:50:00,2034,4205101,195297
2026-03-03T05:52:00,2099,4483580,233639
2026-03-03T05:54:00,1817,4232129,203829
2026-03-03T05:56:00,2315,4309268,208568
2026-03-03T05:58:00,2516,4980978,239200
2026-03-03T06:00:00,2416,4899074,199534
2026-03-03T06:02:00,2149,3796734,200213
2026-03-03T06:04:00,2302,4736343,211263
2026-03-03T06:06:00,2137,5092597,203982
2026-03-03T06:08:00,2304,5428712,211414
2026-03-03T06:10:00,1886,4646191,177983
2026-03-03T06:12:00,2170,5165001,210411
2026-03-03T06:14:00,2125,5505913,199956
2026-03-03T06:16:00,1951,5256746,211475
2026-03-03T06:18:00,2422,5178780,207393
2026-03-03T06:20:00,2685,5716695,244912
2026-03-03T06:22:00,2559,5755985,255964
2026-03-03T06:24:00,2401,5555861,261838
2026-03-03T06:26:00,2030,5192257,205749
2026-03-03T06:28:00,2051,4768047,188763
2026-03-03T06:30:00,1800,4358876,210990
2026-03-03T06:32:00,1911,5080433,194730
2026-03-03T06:34:00,2042,5258333,201066
2026-03-03T06:36:00,2307,5106314,202309
2026-03-03T06:38:00,2183,4419154,226792
2026-03-03T06:40:00,2347,5168215,215261
2026-03-03T06:42:00,2386,4902216,231601
2026-03-03T06:44:00,2298,4748862,239392
2026-03-03T06:46:00,2209,4942769,195964
2026-03-03T06:48:00,2527,5345787,221005
2026-03-03T06:50:00,2685,5733423,235773
2026-03-03T06:52:00,2460,5835409,228254
2026-03-03T06:54:00,2564,6018280,244141
2026-03-03T06:56:00,2402,4667116,202045
2026-03-03T06:58:00,2518,4923218,213675
2026-03-03T07:00:00,2168,5549868,205245
2026-03-03T07:02:00,2177,5930803,244785
2026-03-03T07:04:00,2074,5182545,247731
2026-03-03T07:06:00,1734,4248501,189883
2026-03-03T07:08:00,1743,5797726,255451
2026-03-03T07:10:00,1818,5026057,232840
2026-03-03T07:14:00,1949,3953237,244644
2026-03-03T07:16:00,1826,4094743,203315
2026-03-03T07:18:00,1850,4481998,180447
2026-03-03T07:20:00,2032,5304377,220602
2026-03-03T07:22:00,1971,4819136,250431
2026-03-03T07:24:00,1895,4805187,221325
2026-03-03T07:26:00,1950,4451174,199598
2026-03-03T07:28:00,2078,5155393,205879
2026-03-03T07:30:00,2120,4603237,196435
2026-03-03T07:32:00,2255,4598465,244812
2026-03-03T07:34:00,2278,4536702,223272
2026-03-03T07:36:00,2193,4741961,194566
2026-03-03T07:38:00,2178,3848552,205473
2026-03-03T07:40:00,2214,4216545,231188
2026-03-03T07:42:00,2100,4366793,189424
2026-03-03T07:44:00,1808,4106628,214422
2026-03-03T07:46:00,1667,3438239,191960
2026-03-03T07:48:00,1691,3724985,164850
2026-03-03T07:50:00,1644,3631837,241034
2026-03-03T07:52:00,1854,4036760,249826
2026-03-03T07:54:00,1952,3604712,213889
2026-03-03T07:56:00,1742,3920820,249042
2026-03-03T07:58:00,1660,3714413,240795
2026-03-03T08:00:00,2023,4332042,198634
2026-03-03T08:02:00,2122,5187278,229417
2026-03-03T08:04:00,2150,5305154,195856
2026-03-03T08:06:00,1897,5108051,209712
2026-03-03T08:08:00,1862,5347853,249190
2026-03-03T08:10:00,1739,4912698,185904
2026-03-03T08:12:00,1582,4869475,170790
2026-03-03T08:14:00,1726,4687684,228886
2026-03-03T08:16:00,1680,4255429,216721
2026-03-03T08:18:00,1782,6041836,216954
2026-03-03T08:20:00,1837,4732674,221158
2026-03-03T08:22:00,2123,6067896,292751
2026-03-03T08:24:00,1997,4707186,214310
2026-03-03T08:26:00,1990,5367392,226958
2026-03-03T08:28:00,2030,8092388,265079
2026-03-03T08:30:00,1932,6567879,346493
2026-03-03T08:32:00,2069,6121645,272202
2026-03-03T08:34:00,2039,6718614,278037
2026-03-03T08:36:00,1775,6513708,187476
2026-03-03T08:38:00,1911,7036060,245578
2026-03-03T08:40:00,1935,8120580,259683
2026-03-03T08:42:00,1994,7516563,252753
2026-03-03T08:44:00,1990,9642513,237487
2026-03-03T08:46:00,2262,10374895,320560
2026-03-03T08:48:00,2083,10228207,297014
2026-03-03T08:50:00,2411,12369615,330759
2026-03-03T08:52:00,2661,11752631,399031
2026-03-03T08:54:00,2816,15888066,452287
2026-03-03T08:56:00,2796,16442857,465254
2026-03-03T08:58:00,2823,19277638,462100
2026-03-03T09:00:00,2914,20305577,537875
2026-03-03T09:02:00,3089,23981990,614884
2026-03-03T09:04:00,3208,25254257,594132
2026-03-03T09:06:00,3865,27146600,652083
2026-03-03T09:08:00,3863,31387299,697213
2026-03-03T09:10:00,3959,31751212,647676
2026-03-03T09:12:00,4348,34220993,715030
2026-03-03T09:14:00,4795,37007525,867781
2026-03-03T09:16:00,4430,37397629,860257
2026-03-03T09:18:00,4439,37228824,833118
2026-03-03T09:20:00,4698,39912377,852899
2026-03-03T09:22:00,4630,38250234,797384
2026-03-03T09:24:00,4436,37586261,880518
2026-03-03T09:26:00,5247,39026203,944619
2026-03-03T09:28:00,4796,41368461,1026400
2026-03-03T09:30:00,4439,36394202,837880
2026-03-03T09:32:00,5125,39861372,960698
2026-03-03T09:34:00,5235,40751408,1080806
2026-03-03T09:36:00,5307,42752387,1052595
2026-03-03T09:38:00,5528,43807347,935399
2026-03-03T09:40:00,5439,46884502,909735
2026-03-03T09:42:00,6155,45451499,1044078
2026-03-03T09:44:00,5482,43960733,1004894
2026-03-03T09:46:00,5406,48299359,1042636
2026-03-03T09:48:00,5249,45985080,1089074
2026-03-03T09:50:00,5752,45541528,1130755
2026-03-03T09:52:00,5607,48489869,996196
2026-03-03T09:54:00,5724,50709564,1146410
2026-03-03T09:56:00,7180,52719093,1206315
2026-03-03T09:58:00,7065,52740907,1161840
2026-03-03T10:00:00,7456,53812248,1196122
2026-03-03T10:02:00,7570,53004783,1220764
2026-03-03T10:04:00,7891,51032166,1156287
2026-03-03T10:06:00,7674,55721372,1296426
2026-03-03T10:08:00,7093,53407255,1213946
2026-03-03T10:10:00,7422,58900653,1210030
2026-03-03T10:12:00,7510,54384008,1224080
2026-03-03T10:14:00,7296,52651939,1197265
2026-03-03T10:16:00,7492,52937905,1308680
2026-03-03T10:18:00,7710,57122535,1243925
2026-03-03T10:20:00,7425,52621971,1116428
2026-03-03T10:22:00,6912,50555705,1122026
2026-03-03T10:24:00,8214,58151614,1243502
2026-03-03T10:26:00,7313,54158433,1153968
2026-03-03T10:28:00,7509,54567698,1216103
2026-03-03T10:30:00,7243,52880957,1244524
2026-03-03T10:32:00,7435,55491360,1198062
2026-03-03T10:34:00,7592,51512314,1248852
2026-03-03T10:36:00,7421,53342877,1259218
2026-03-03T10:38:00,7865,56549689,1258422
2026-03-03T10:40:00,7529,59345058,1279941
2026-03-03T10:42:00,7818,58464538,1298444
2026-03-03T10:44:00,7609,57429208,1272502
2026-03-03T10:46:00,7604,59205004,1436641
2026-03-03T10:48:00,7902,54070548,1293950
2026-03-03T10:50:00,7831,60093195,1219257
2026-03-03T10:52:00,7314,57329564,1241158
2026-03-03T10:54:00,7963,59050837,1403948
2026-03-03T10:56:00,7541,57260533,1378594
2026-03-03T10:58:00,8559,57537148,1487664
2026-03-03T11:00:00,7333,57364138,1206903
2026-03-03T11:02:00,8131,60235049,1303870
2026-03-03T11:04:00,7251,56821281,1299773
2026-03-03T11:06:00,8011,58436196,1398737
2026-03-03T11:08:00,7583,60360580,1321558
2026-03-03T11:10:00,7541,58640777,1282553
2026-03-03T11:12:00,7470,60200391,1406187
2026-03-03T11:14:00,7937,58638128,1346478
2026-03-03T11:16:00,8162,63633511,1349810
2026-03-03T11:18:00,8708,65090300,1318335
2026-03-03T11:20:00,8194,60689242,1308924
2026-03-03T11:22:00,9763,66300714,1339565
2026-03-03T11:24:00,8306,65155615,1353865
2026-03-03T11:26:00,8461,63420646,1360415
2026-03-03T11:28:00,8641,61571061,1343656
2026-03-03T11:30:00,8926,66364254,1390618
2026-03-03T11:32:00,8716,64626764,1487491
2026-03-03T11:34:00,8185,65607620,1489064
2026-03-03T11:36:00,8109,61307330,1333433
2026-03-03T11:38:00,8001,62356176,1477724
2026-03-03T11:40:00,8052,62393453,1500027
2026-03-03T11:42:00,7626,62839535,1317821
2026-03-03T11:44:00,8075,64304611,1419324
2026-03-03T11:46:00,8081,65238554,1398293
2026-03-03T11:48:00,7646,61836807,1365403
2026-03-03T11:50:00,7451,60914968,1298595
2026-03-03T11:52:00,7196,58574576,1255821
2026-03-03T11:54:00,6850,55959107,1155807
2026-03-03T11:56:00,6691,57388745,1157219
2026-03-03T11:58:00,6808,56982989,1153235
2026-03-03T12:00:00,6413,53993280,1003246
2026-03-03T12:02:00,5526,51710442,933557
2026-03-03T12:04:00,5240,45855871,976146
2026-03-03T12:06:00,5073,46631451,815943
2026-03-03T12:08:00,4758,40542706,765288
2026-03-03T12:10:00,4944,38637902,785087
2026-03-03T12:12:00,4968,37108591,715784
2026-03-03T12:14:00,4607,36152752,740286
2026-03-03T12:16:00,4387,32941802,759769
2026-03-03T12:18:00,4644,33002186,733097
2026-03-03T12:20:00,4516,31875689,645274
2026-03-03T12:22:00,4257,28210695,716831
2026-03-03T12:24:00,3832,24524097,636358
2026-03-03T12:26:00,3644,23248027,524545
2026-03-03T12:28:00,3598,22587486,529654
2026-03-03T12:30:00,3554,22145851,555481
2026-03-03T12:32:00,3394,19752931,474392
2026-03-03T12:34:00,3548,20175286,524368
2026-03-03T12:36:00,3482,16957282,478807
2026-03-03T12:38:00,3398,15046172,421234
2026-03-03T12:40:00,2993,13816792,397336
2026-03-03T12:42:00,3019,14497007,375933
2026-03-03T12:44:00,3283,14813185,445691
2026-03-03T12:46:00,3347,14344799,388285
2026-03-03T12:48:00,3329,14844132,460352
2026-03-03T12:50:00,3313,14079953,425600
2026-03-03T12:52:00,3545,13708631,405419
2026-03-03T12:54:00,2964,13471272,399565
2026-03-03T12:56:00,2901,14750952,362301
2026-03-03T12:58:00,2961,12648916,381976
2026-03-03T13:00:00,3041,13186660,338914
2026-03-03T13:02:00,2889,12236280,359992
2026-03-03T13:04:00,3069,11383921,352839
2026-03-03T13:06:00,2610,10635272,332418
2026-03-03T13:08:00,2813,10932012,361980
2026-03-03T13:10:00,2879,12171715,353506
2026-03-03T13:12:00,2598,10394998,293854
2026-03-03T13:14:00,2545,10218030,332593
2026-03-03T13:16:00,2820,10592676,354011
2026-03-03T13:18:00,2725,11557319,344067
2026-03-03T13:20:00,2727,10317778,368801
2026-03-03T13:22:00,2855,8525140,330071
2026-03-03T13:24:00,2827,10271032,287107
2026-03-03T13:26:00,2693,9529146,294995
2026-03-03T13:28:00,2601,8373538,292438
2026-03-03T13:30:00,2500,8603465,287217
2026-03-03T13:32:00,2525,7818212,275826
2026-03-03T13:34:00,2548,9726269,295778
2026-03-03T13:36:00,2716,10009028,347431
2026-03-03T13:38:00,2752,8399297,318544
2026-03-03T13:40:00,2711,9554296,384743
2026-03-03T13:42:00,2705,9617209,317610
2026-03-03T13:44:00,3125,9840353,366010
2026-03-03T13:46:00,2961,11977434,371776
